Case,Framework,Observable,Dim,Rank,DMD_m1_rank,DMD_m0_err%,DMD_m1_err%,DMD_m1_fair%,POD_m0_err%,POD_m1_err%,POD_m1_fair%,α_DMD,α_POD
Re100Bo100,Eulerian,EG,2D,11,12,99.9984,26.8713,24.7293,29.4593,28.4332,26.1765,0.920286,0.92063
Re100Bo100,Eulerian,EUV,2D,10,10,2.8819,6.7943,3.6799,2.44,4.3548,2.3611,0.541624,0.542176
Re20Bo20,Eulerian,EG,2D,11,12,39.4946,10.4645,8.5826,8.3635,9.305,7.6315,0.820164,0.820153
Re20Bo20,Eulerian,EUV,2D,10,10,1.7559,2.5358,1.2575,0.3568,0.6465,0.3206,0.495915,0.495907
Re100Bo100,Moving-Eulerian,LEGi,2D,10,10,2.8224,9.042,2.8165,1.4615,3.9241,1.22,0.311491,0.310909
Re100Bo100,Moving-Eulerian,LEUVi,2D,10,10,0.5208,8.9887,1.3237,0.1201,0.7769,0.1141,0.147263,0.146896
Re168Bo12,Moving-Eulerian,LEGi,3D,37,38,1.1601,8.3335,0.4259,0.0093,0.171,0.0087,0.051111,0.051111
Re168Bo12,Moving-Eulerian,LEUVWi,3D,10,10,,30.9853,4.1841,0.8884,6.2089,0.8384,0.135035,0.135034
Re168Bo2,Moving-Eulerian,LEGi,3D,23,24,1.3018,4.3402,0.3912,0.0088,0.0864,0.0078,0.090132,0.090131
Re168Bo2,Moving-Eulerian,LEUVWi,3D,10,10,,21.5338,5.9145,1.2443,4.1471,1.1391,0.274662,0.274661
Re20Bo20,Moving-Eulerian,LEGi,2D,11,12,0.5462,5.6346,0.2684,0.0041,0.0674,0.0032,0.047643,0.047642
Re20Bo20,Moving-Eulerian,LEUVi,2D,10,10,0.0688,20.5566,0.85,0.0001,0.0026,0.0001,0.041348,0.041348
Re100Bo100,Lagrangian,LG,2D,11,12,0.178,5.4737,0.4227,0.1386,1.5193,0.1176,0.077225,0.077432
Re100Bo100,Lagrangian,LP,2D,10,,,,,0.0,0.0081,0.0,,0.000728
Re100Bo100,Lagrangian,LUV,2D,10,10,,6.4574,2.3851,0.9025,2.3046,0.8511,0.369364,0.369295
Re20Bo20,Lagrangian,LG,2D,10,10,0.0403,4.3337,0.1106,0.0224,0.7822,0.02,0.025531,0.025598
Re20Bo20,Lagrangian,LP,2D,10,10,,9.2428,0.0024,0.0,0.0008,0.0,0.000262,0.000264
Re20Bo20,Lagrangian,LUV,2D,11,12,0.1515,3.2894,0.9682,0.0468,0.1391,0.041,0.294327,0.294385
